code|name
PROC-123|Arthrocentesis (demo)
PROC-456|Nerve conduction study (demo)
20600|Demo procedure 20600
20605|Demo procedure 20605
20610|Demo procedure 20610
20550|Demo procedure 20550
20551|Demo procedure 20551
20552|Demo procedure 20552
20553|Demo procedure 20553
20700|Demo procedure 20700
20701|Demo procedure 20701
20702|Demo procedure 20702
20703|Demo procedure 20703
20704|Demo procedure 20704
20705|Demo procedure 20705
20706|Demo procedure 20706
20707|Demo procedure 20707
20708|Demo procedure 20708
20709|Demo procedure 20709
20710|Demo procedure 20710
20711|Demo procedure 20711
20712|Demo procedure 20712
20713|Demo procedure 20713
20714|Demo procedure 20714
20715|Demo procedure 20715
20716|Demo procedure 20716
20717|Demo procedure 20717
20718|Demo procedure 20718
20719|Demo procedure 20719
20720|Demo procedure 20720
20721|Demo procedure 20721
20722|Demo procedure 20722
20723|Demo procedure 20723
20724|Demo procedure 20724
20725|Demo procedure 20725
20726|Demo procedure 20726
20727|Demo procedure 20727
20728|Demo procedure 20728
20729|Demo procedure 20729
20730|Demo procedure 20730
20731|Demo procedure 20731
20732|Demo procedure 20732
20733|Demo procedure 20733
20734|Demo procedure 20734
20735|Demo procedure 20735
20736|Demo procedure 20736
20737|Demo procedure 20737
20738|Demo procedure 20738
20739|Demo procedure 20739
20740|Demo procedure 20740
20741|Demo procedure 20741
20742|Demo procedure 20742
20743|Demo procedure 20743
20744|Demo procedure 20744
20745|Demo procedure 20745
20746|Demo procedure 20746
20747|Demo procedure 20747
20748|Demo procedure 20748
20749|Demo procedure 20749
